Fecha,Hr.Med(%),NubTotOct,NubbajOct,Prec.(mm),Pres.n. mar(Hp),TdMed(C),Temperatura(C),Temperatura(C),Temperatura(C),Viento(km/h),Viento(km/h),Viento(km/h),VisKm
Fecha,Hr.Med(%),NubTotOct,NubbajOct,Prec.(mm),Pres.n. mar(Hp),TdMed(C),Max,Med,Min,Dir.,Rch.,Vel.,VisKm
31/01/2016,69.4,2.0,2.8,0.0,1017.8,15.6,29.8,22.5,16.8,SSE,----,14.8,11.2
30/01/2016,77.4,5.2,2.4,0.0,1013.7,18.6,28.9,23.2,18.2,SSE,----,9.7,8.9
29/01/2016,81.3,5.6,5.0,8.0,1012.1,17.3,27.2,20.6,17.1,ESE,----,11.4,10.6
28/01/2016,70.6,6.9,2.8,0.0,1013.4,14.1,28.3,20.6,15.5,SE,----,12.3,10.0
27/01/2016,54.4,1.8,2.0,0.0,1014.6,9.7,27.4,20.3,13.0,NE,----,18.8,11.5
26/01/2016,60.9,4.1,2.9,0.0,1010.7,14.5,29.2,23.4,18.6,S,----,14.4,11.6
25/01/2016,75.4,5.4,4.3,3.3,1005.1,17.5,34.1,22.5,16.8,WSW,----,15.9,9.7
24/01/2016,70.1,4.6,3.3,0.0,1004.2,19.6,33.0,26.0,20.6,NE,----,24.1,11.2
23/01/2016,57.6,1.1,2.5,0.0,1011.0,17.8,35.4,27.5,20.4,SE,----,18.1,11.8
22/01/2016,68.3,2.0,2.0,0.0,1009.0,22.1,35.0,29.0,22.1,NNE,----,21.8,11.0
21/01/2016,69.9,3.9,1.4,0.0,1012.4,21.1,34.6,27.4,20.8,NE,----,18.8,12.0
20/01/2016,69.3,6.2,4.4,0.0,1011.2,20.4,33.9,26.7,20.0,NE,----,19.7,12.0
19/01/2016,69.3,1.8,2.0,0.0,1013.9,16.6,31.4,23.1,17.4,ENE,----,16.0,11.8
18/01/2016,70.5,1.1,1.7,0.0,1014.0,17.2,29.4,23.6,18.2,SE,----,10.0,10.4
17/01/2016,71.0,6.0,3.4,0.0,1009.7,18.1,32.6,24.2,19.0,NE,----,15.1,12.5
16/01/2016,67.7,0.4,1.0,0.0,1010.9,17.8,32.0,24.5,17.4,NNE,----,18.1,12.2
15/01/2016,72.2,3.1,1.4,12.0,1009.7,18.2,32.0,24.3,16.5,NNE,63.0,13.4,11.4
14/01/2016,72.1,1.2,0.7,0.0,1011.1,18.8,31.5,24.7,17.0,NNW,----,10.7,11.8
13/01/2016,75.4,0.6,0.5,0.3,1010.4,17.5,29.6,22.0,17.4,N,----,12.0,12.2
12/01/2016,82.5,6.0,3.6,7.0,1006.2,19.1,31.1,23.1,19.0,W,----,12.0,8.8
11/01/2016,79.9,1.5,3.0,0.0,1010.1,18.9,30.3,22.6,16.5,NE,----,6.9,8.8
10/01/2016,87.2,5.8,3.1,31.8,1013.3,17.4,23.8,19.6,16.8,ESE,----,12.0,8.2
09/01/2016,77.5,3.0,5.2,0.0,1013.6,17.3,30.1,22.3,17.8,SSE,----,13.0,12.0
08/01/2016,67.3,6.9,6.2,0.8,1012.4,15.5,29.0,22.4,17.0,ENE,----,9.3,11.1
07/01/2016,63.6,2.6,1.2,0.0,1015.9,13.1,28.0,21.5,14.0,ESE,----,10.0,12.0
06/01/2016,59.9,2.6,1.3,Ip,1016.5,13.0,29.1,21.9,13.6,SE,----,16.2,11.8
05/01/2016,85.2,5.4,2.4,0.0,1011.3,20.0,28.4,22.5,19.8,SSE,----,13.2,10.2
04/01/2016,89.7,7.0,3.4,10.0,1009.1,20.8,26.9,22.8,20.8,NNE,----,13.4,9.5
03/01/2016,77.3,6.2,2.5,Ip,1010.5,19.5,31.6,24.4,20.0,NE,----,18.8,10.8
02/01/2016,71.1,4.5,3.0,0.0,1011.0,19.2,32.1,25.3,20.3,ENE,----,18.8,11.5
01/01/2016,77.9,5.1,2.3,----,1009.8,18.6,31.4,22.7,18.4,E,----,15.9,10.6
29/02/2016,73.2,0.8,1.7,0.0,1015.6,16.0,29.5,21.7,13.0,E,,8.1,12.0
28/02/2016,71.6,0.8,2.0,0.0,1012.6,14.3,28.6,20.4,13.0,NW,,5.1,13.5
27/02/2016,66.5,0.0,---,0.0,1009.2,11.3,26.0,18.6,9.0,W,,11.1,13.1
26/02/2016,77.3,5.8,2.9,23.0,1003.4,16.1,26.2,20.6,15.5,E,,16.4,10.8
25/02/2016,75.7,2.0,2.2,16.0,1008.5,17.4,32.7,22.9,15.0,ESE,,14.4,10.5
24/02/2016,77.2,1.5,2.0,0.0,1008.6,21.2,32.3,25.9,18.0,NW,,5.3,11.1
23/02/2016,77.7,1.5,1.2,0.0,1010.7,21.5,32.4,26.2,21.5,ENE,,9.0,12.0
22/02/2016,77.8,0.6,1.7,0.0,1009.9,21.6,31.9,25.9,21.4,NNE,,20.6,11.0
21/02/2016,78.4,1.4,2.0,0.0,1011.9,19.0,30.2,23.2,16.8,NE,,16.7,11.8
20/02/2016,84.0,2.9,4.2,0.0,1014.5,18.0,28.0,20.8,15.6,ENE,,11.1,10.5
19/02/2016,88.1,7.1,5.0,50.0,1010.8,19.8,30.6,22.1,20.0,ENE,,15.1,9.4
18/02/2016,78.0,1.4,0.8,0.6,1010.2,18.2,30.6,23.1,15.5,NE,,7.9,10.4
17/02/2016,80.6,5.1,3.4,63.0,1002.5,20.9,32.6,25.1,18.5,NW,,18.1,9.5
16/02/2016,79.7,2.9,4.6,0.0,1004.2,22.5,32.3,26.7,21.0,NNE,,16.2,11.0
15/02/2016,72.2,2.4,2.2,0.0,1008.8,19.0,31.8,25.3,18.2,ENE,,6.1,10.7
14/02/2016,64.5,0.2,---,0.0,1009.7,14.1,30.2,21.9,11.5,W,,6.9,12.4
13/02/2016,78.0,7.0,3.4,2.0,1003.8,21.2,34.4,26.3,22.0,SSW,,14.8,11.4
12/02/2016,79.5,2.5,1.5,0.0,1006.1,23.6,34.0,27.8,20.8,N,,14.4,11.8
11/02/2016,71.5,2.8,3.3,0.0,1011.7,20.4,32.0,25.1,18.2,NE,,17.1,10.8
10/02/2016,80.2,1.7,2.5,0.0,1012.9,20.8,33.0,25.3,20.5,NE,,5.8,8.6
09/02/2016,81.1,3.6,3.4,10.0,1010.2,20.9,32.1,24.8,18.7,WSW,,9.0,8.4
08/02/2016,87.7,7.4,4.5,25.0,1008.1,20.3,30.0,22.0,19.0,E,,13.2,9.6
07/02/2016,78.3,4.1,2.6,27.0,1010.4,21.3,35.0,26.8,19.4,ENE,,17.6,11.5
06/02/2016,72.8,2.0,1.2,0.0,1014.7,20.1,33.6,25.8,19.9,ENE,,11.4,11.7
05/02/2016,67.6,3.6,1.0,0.0,1011.4,18.2,33.0,25.4,18.6,ENE,,5.3,11.5
04/02/2016,67.1,1.2,1.0,0.0,1009.4,16.4,32.2,23.8,16.0,NE,,12.3,11.6
03/02/2016,66.1,2.1,1.0,0.0,1012.2,15.6,31.5,23.3,16.5,NE,,15.3,11.6
02/02/2016,65.5,1.5,0.5,0.0,1017.9,13.2,29.4,20.8,13.2,ENE,,11.4,11.6
01/02/2016,67.5,0.1,---,0.0,1020.3,11.6,26.2,18.8,12.0,SE,,11.1,11.8
31/03/2016,68.1,1.1,2.0,0.0,1014.1,15.5,32.0,22.8,14.3,N,,18.5,10.0
30/03/2016,66.8,0.6,---,0.0,1015.7,14.3,31.0,22.0,13.0,NNE,,19.5,11.9
29/03/2016,68.3,1.4,0.0,0.0,1015.8,13.1,34.0,20.5,10.0,NNE,,9.0,9.6
28/03/2016,70.7,0.9,1.7,0.0,1015.8,13.3,27.0,18.9,10.0,S,,6.1,10.7
27/03/2016,76.0,2.0,3.2,0.0,1018.3,13.5,26.0,18.5,13.0,SE,,10.9,9.5
26/03/2016,73.5,5.4,4.4,0.0,1022.7,12.7,24.0,17.3,12.4,ESE,,14.6,10.0
25/03/2016,66.1,4.0,4.5,0.0,1023.3,9.8,26.0,16.8,10.0,SE,,21.3,12.4
24/03/2016,70.7,0.3,---,0.0,1014.7,13.2,28.7,19.6,12.3,ENE,,14.3,11.4
23/03/2016,71.9,0.6,0.7,0.0,1014.5,13.7,28.0,19.8,11.5,N,,12.5,13.1
22/03/2016,80.3,0.9,2.3,0.0,1016.3,12.5,26.0,16.2,8.2,NW,,4.4,6.9
21/03/2016,78.8,4.6,6.2,Ip,1019.0,11.8,22.3,15.9,9.5,E,,6.9,10.5
20/03/2016,72.4,5.9,3.9,0.0,1022.4,10.2,20.1,15.5,10.0,ESE,,11.1,12.1
19/03/2016,61.4,3.4,3.8,0.0,1022.9,6.8,22.5,14.9,8.0,SE,,12.5,13.6
18/03/2016,73.1,7.1,2.6,12.0,1008.6,18.1,33.2,23.9,17.2,ENE,,22.0,10.0
17/03/2016,70.9,1.5,1.2,0.0,1010.9,19.0,33.2,25.4,19.5,NNE,,22.9,11.8
16/03/2016,70.3,1.1,1.3,0.0,1015.7,17.4,32.7,24.1,13.0,NE,,13.9,12.0
15/03/2016,73.9,2.9,1.4,0.0,1015.9,15.1,30.3,20.7,13.0,NNE,,14.4,10.9
14/03/2016,71.9,0.8,2.5,0.0,1018.5,13.2,27.6,19.1,12.6,NNE,,19.0,9.6
13/03/2016,73.8,1.2,3.3,0.0,1021.1,12.7,25.8,18.3,11.3,NE,,16.2,12.1
12/03/2016,77.0,0.8,3.0,0.0,1020.1,12.0,24.2,16.7,9.5,SE,,9.3,10.1
11/03/2016,74.1,1.0,1.3,0.0,1018.3,11.0,22.3,16.2,9.5,SE,,10.0,10.9
10/03/2016,75.6,3.5,2.5,0.0,1020.9,11.0,23.4,16.0,10.6,SSE,,14.8,10.0
09/03/2016,82.0,7.4,3.1,Ip,1014.1,16.7,25.3,20.3,16.1,SE,,9.3,11.0
08/03/2016,73.0,2.6,1.8,0.0,1014.8,12.7,25.4,18.2,10.6,NNE,,10.0,11.2
07/03/2016,66.9,2.0,0.0,0.0,1016.2,11.0,24.7,13.0,9.0,ENE,,6.5,11.7
06/03/2016,70.0,0.5,1.0,0.0,1015.4,11.3,24.2,17.6,9.0,S,,6.9,13.1
05/03/2016,80.8,3.2,3.5,Ip,1014.3,15.8,26.4,19.6,15.0,S,,13.7,12.0
04/03/2016,81.6,4.5,2.9,0.0,1012.0,17.6,27.6,21.4,14.2,NNE,,13.4,10.4
03/03/2016,80.4,2.1,3.2,0.0,1015.9,15.9,27.1,19.5,14.2,ENE,,14.4,10.4
02/03/2016,75.3,6.9,4.5,0.0,1019.6,13.5,23.0,18.0,14.2,E,,18.5,11.8
01/03/2016,86.8,7.9,5.9,5.0,1016.9,17.9,28.5,20.8,17.5,SE,,17.4,9.9
